Unnamed: 0,City,Country,Continent,Housing,Cost of Living,Startups,Venture Capital,Travel Connectivity,Commute,Business Freedom,Safety,Healthcare,Education,Environmental Quality,Economy,Taxation,Internet Access,Leisure & Culture,Tolerance,Outdoors,latitude,longitude,mean
0,Aarhus, Denmark,Europe,6.1315,4.015000000000001,2.827000000000001,2.512,3.5360000000000005,6.31175,9.94,9.616500000000002,8.704333333333333,5.3665,7.633000000000001,4.886500000000001,5.0680000000000005,8.373,3.187,9.738500000000002,4.13,56.1496278,10.2134046,6.0
1,Adelaide, Australia,Oceania,6.3095,4.692,3.1365,2.64,1.7765000000000004,5.33625,9.399666666666668,7.926000000000001,7.936666666666666,5.142,8.330750000000002,6.0695000000000014,4.5885,4.341,4.3285,7.822,5.531000000000001,-34.9281805,138.5999312,5.61
2,Albuquerque, New Mexico,North America,7.262,6.059,3.772,1.493,1.4555000000000002,5.05575,8.671,1.3435,6.429999999999999,4.151999999999999,7.3195,6.5145,4.346,5.396000000000001,4.890000000000001,7.028499999999999,3.5155,35.21287095,-106.71324849574629,4.99
3,Almaty, Kazakhstan,Asia,9.282,9.333,2.4585,0.0,4.592,5.871249999999999,5.568,7.309,4.5456666666666665,2.283,3.85675,5.269,8.522,2.886,2.9370000000000003,6.5395,5.499999999999999,43.2363924,76.9457275,5.11
4,Amsterdam, Netherlands,Europe,3.0529999999999995,3.8240000000000007,7.971500000000001,6.107,8.3245,6.1185,8.836666666666666,8.503500000000003,7.907333333333333,6.18,7.59725,5.053000000000001,4.954999999999999,4.523000000000001,8.874,8.368,5.307,52.3727598,4.8936041,6.56
5,Anchorage, Alaska,North America,5.433500000000001,3.141,2.7945,0.0,1.7379999999999998,4.715249999999999,8.671,3.4704999999999995,6.0603333333333325,3.6245,9.272000000000002,6.5145,4.772,4.9645,3.2660000000000005,7.093,5.3580000000000005,61.2163129,-149.894852,4.76
6,Andorra,Andorra,Europe,3.969,0.0,1.0,0.0,0.5,0.0,0.0,9.5535,0.0,0.0,7.256,0.0,4.475,7.186,2.132,8.7035,3.5885,42.5407167,1.5732033,2.85
7,Ankara, Turkey,Asia,9.928,9.125,3.9725000000000006,0.0,2.0475,5.291,5.948333333333333,7.425000000000002,6.914333333333333,2.0285,2.9360000000000004,4.093500000000001,4.323499999999999,2.3160000000000003,8.638499999999999,4.485500000000001,5.1465,39.9207886,32.8540482,4.98
8,Asheville, North Carolina,North America,5.855999999999999,5.311,3.5405,0.0,1.2095,1.358,8.671,5.852500000000001,6.725333333333332,3.6245,8.49325,6.5145,4.062,4.7875,5.063,7.7305,2.2655,35.6009498,-82.5540161,4.77
9,Asuncion, Paraguay,South America,9.2265,9.295000000000002,2.207,0.0,0.645,4.968750000000001,3.684,6.9345,5.485333333333333,0.0,3.969,4.109,8.423499999999999,1.479,5.991999999999999,7.051499999999999,3.4845000000000006,-25.2800459,-57.6343814,4.53
10,Athens, Greece,Europe,9.052499999999998,6.5,4.404,2.325,3.707,5.21975,6.168999999999999,6.7585,7.153,3.1625,3.80225,3.3199999999999994,4.1665,2.228,7.876000000000001,6.268000000000001,6.483,37.9839412,23.7283052,5.22
11,Atlanta, Georgia,North America,4.9755,5.241,8.835,7.2570000000000014,5.2915,3.89775,8.671,2.6725,6.0233333333333325,6.456999999999999,5.817749999999999,6.5145,4.204,6.4805,7.765499999999999,4.062,5.0095,33.7489924,-84.3902644,5.84
12,Auckland, New Zealand,Oceania,4.72,4.470000000000001,4.588000000000001,2.79,1.3045000000000004,4.845000000000001,10.0,7.0215,8.162666666666665,5.0465,8.2725,5.505500000000001,5.9315,6.8500000000000005,4.395999999999999,7.402000000000001,5.862,-36.852095,174.7631803,5.72
13,Austin, Texas,North America,4.3345,5.355,9.236,6.939000000000001,1.8515000000000004,4.3305,8.671,5.069,6.281666666666666,5.315000000000001,7.03075,6.5145,4.772,9.049,6.698,6.7895,3.909,30.2711286,-97.7436995,6.01
14,Baku, Azerbaijan,Asia,9.745,9.806,2.6705,0.0,2.1690000000000005,5.492,5.671666666666666,8.772,3.701999999999999,0.0,2.62125,3.8765,5.861,1.4420000000000002,6.2195,6.584500000000001,4.503,40.16399915,50.27770925520258,4.66
15,Bali, Indonesia,Asia,5.0,0.0,1.628,0.0,1.93,5.193500000000001,3.912333333333333,8.7475,4.442,0.5275,4.13775,4.657500000000001,6.266,3.2375000000000003,6.3335,4.558999999999999,7.5005,-8.3304977,115.0906401,4.01
16,Baltimore, Maryland,North America,4.829999999999999,4.982,0.0,4.3580000000000005,3.6665,4.93475,5.502000000000001,2.373,6.870666666666666,5.8805,5.784500000000001,6.5145,4.062,4.988,0.0,5.755,3.9795,39.2908816,-76.610759,4.39
17,Bangkok, Thailand,Asia,7.3935,7.222,6.119,3.453,4.112,4.293500000000001,5.6036666666666655,7.0365,7.126666666666665,1.6915,3.37125,2.387,6.794500000000001,4.826499999999999,9.089,6.019,6.494000000000001,13.7525438,100.4934734,5.48
18,Barcelona, Spain,Europe,6.323,6.074000000000001,7.7585000000000015,5.655,5.806,5.69925,7.1196666666666655,7.407499999999999,8.403333333333332,5.029000000000002,3.6655000000000006,4.296,3.894000000000001,6.467999999999999,8.591499999999998,7.471500000000001,5.827999999999999,41.3828939,2.1774322,6.21
19,Beijing, China,Asia,6.173000000000001,8.101,4.872,9.562,7.0175,4.83675,3.815333333333333,7.066,6.423333333333333,7.971000000000002,2.0555000000000003,6.103,1.4260000000000002,3.493,7.268499999999999,2.822,4.9435,39.906217,116.3912757,5.53
20,Beirut, Lebanon,Asia,6.655500000000001,6.3,3.4094999999999995,0.0,1.3045000000000004,4.77275,4.329,6.833,6.1593333333333335,1.0035,1.449,3.4345000000000003,8.2805,1.5905,3.3995,4.184,3.842000000000001,33.8959203,35.47843,3.94
21,Belfast, United Kingdom,Europe,7.532000000000001,6.014000000000001,3.55,1.6210000000000002,4.0985,5.28,8.991999999999999,7.678999999999999,8.168333333333333,4.6865000000000006,8.377500000000001,5.438,5.9545,5.5955,4.957000000000001,5.9795,1.413,54.596391,-5.9301829,5.61
22,Belgrade, Serbia,Europe,9.2575,8.546000000000001,4.9095,2.333,2.1365000000000003,5.578250000000001,5.383999999999999,6.6995000000000005,6.0103333333333335,0.5,4.88325,1.638,4.1665,3.863,6.497,7.387,5.078,44.8178131,20.4568974,5.0
23,Belize City, Belize,North America,4.6425,0.0,1.866,0.0,0.8900000000000001,0.0,3.411,6.052,5.503999999999999,0.0,2.031,3.496,6.930000000000001,3.8075,1.0645,6.865,0.5,17.5000543,-88.2003115,2.77
24,Bengaluru, India,Asia,9.810999999999998,10.0,10.0,8.972999999999999,4.064,4.00625,3.618,7.294,3.937,0.656,2.75575,5.5565,3.4145,2.841,3.2215000000000007,3.4845,2.385,12.9767936,77.590082,5.06
25,Bergen, Norway,Europe,5.229499999999999,1.805,2.207,1.0,3.2425000000000006,5.8875,9.635333333333332,7.7075,7.646666666666666,4.8395,7.539250000000001,7.0735,4.752,6.537000000000001,4.4875,7.6145,4.3135,60.3943055,5.3259192,5.39
26,Berlin, Germany,Europe,6.3950000000000005,5.524,9.085,7.820000000000001,7.024999999999999,6.1960000000000015,9.072333333333331,7.251500000000001,7.990666666666666,7.019000000000001,6.771500000000001,5.373500000000001,3.9035,4.677999999999999,8.881,7.177499999999998,5.475000000000001,52.5170365,13.3888599,6.81
27,Bern, Switzerland,Europe,4.922500000000001,1.0,2.6875000000000004,0.0,5.2635000000000005,5.19775,8.888,9.266,7.520333333333333,5.3455,9.2445,6.552,6.4285000000000005,6.1145000000000005,4.245,8.589,2.1225,46.9482713,7.4514512,5.5
28,Bilbao, Spain,Europe,6.888000000000001,5.638,2.668,0.0,4.1735,5.774750000000001,7.1196666666666655,8.7805,9.320666666666666,3.759000000000001,8.328000000000001,4.296,3.894000000000001,5.756,6.013999999999999,8.663,1.481,43.2630018,-2.9350039,5.45
29,Birmingham, United Kingdom,Europe,5.9035,5.814,4.3575,2.541,5.8450000000000015,5.4935,8.991999999999999,6.946500000000001,8.293666666666667,5.0265,5.7385,5.438,5.9545,5.940000000000001,4.4350000000000005,6.421,1.2675,52.4796992,-1.9026911,5.56
30,Birmingham, Alabama,North America,6.5555,5.133,4.3575,1.0,1.4354999999999998,2.02075,8.671,1.776,6.540999999999999,3.6245,7.0375,6.5145,4.204,5.1605,5.3835,4.881500000000002,1.2660000000000002,33.5206824,-86.8024326,4.45
31,Bogota, Colombia,South America,9.0275,9.079999999999998,5.7085,1.259,1.889,4.964,6.348666666666665,6.222000000000001,6.301666666666667,1.534,4.3475,4.5945,1.8515000000000004,2.9760000000000004,6.215,8.555499999999999,7.477,4.6533326,-74.083652,5.2
32,Boise, Idaho,North America,6.9635,6.578,4.205,2.5960000000000005,1.3235,5.2250000000000005,8.671,4.3605,6.797333333333332,3.6245,8.069500000000001,6.5145,4.062,3.442,4.1995,6.9275,5.221,43.6166163,-116.200886,5.23
33,Bologna, Italy,Europe,7.471999999999999,5.189,3.1485000000000007,1.3969999999999998,3.682,5.53,6.189666666666666,7.337,8.577666666666667,4.202500000000001,5.460250000000001,3.3625,2.4365,7.7105,5.736000000000001,7.618,1.5815,44.4938203,11.3426327,5.1
34,Bordeaux, France,Europe,7.1915,4.583,3.6915,0.0,4.876,5.54975,8.088333333333333,7.466,8.823333333333332,4.442,7.261000000000001,4.2045,2.648000000000001,3.875,5.3005,7.126499999999999,2.8755,44.841225,-0.5800364,5.18
35,Boston, Massachusetts,North America,1.0,4.259,9.565,10.0,3.215,4.39625,8.671,7.742000000000001,6.728999999999998,8.6245,8.1705,6.5145,4.062,5.700500000000001,8.564,8.4815,5.659999999999999,42.3602534,-71.0582912,6.56
36,Boulder, Colorado,North America,3.704,4.531,5.853000000000001,6.019,4.207,6.138000000000002,8.671,7.0735,7.050333333333333,4.679,9.84375,6.5145,4.346,6.2780000000000005,2.5649999999999995,9.274500000000002,6.699,40.0149856,-105.270545,6.09
37,Bozeman, Montana,North America,2.949,0.0,3.407,0.0,1.1905,0.0,8.671,6.9145,6.515,4.128,9.369,6.5145,4.062,5.156000000000001,1.907,7.2935,6.134,45.6794293,-111.044047,4.37
38,Bratislava, Slovakia,Europe,7.874499999999999,7.618,3.487,0.0,4.890000000000001,5.8115000000000006,6.188666666666666,8.618,6.751999999999999,3.2975,6.199999999999999,4.4705,4.937,4.583500000000001,6.186,6.432499999999999,4.8575,48.1516988,17.1093063,5.43
39,Brighton, United Kingdom,Europe,2.49,5.324,3.4094999999999995,0.0,8.322,5.547500000000001,8.991999999999999,8.4715,7.716333333333331,4.906000000000001,8.245750000000001,5.438,5.9545,4.7585,4.8695,8.17,4.898,50.8214626,-0.1400561,5.74
40,Brisbane, Australia,Oceania,5.212,5.1770000000000005,6.343,3.24,2.4345,4.617750000000001,9.399666666666668,7.903500000000001,8.317666666666666,5.920999999999999,8.82775,6.0695000000000014,4.5885,4.407500000000001,4.01,7.489500000000001,6.256500000000002,-27.4689682,153.0234991,5.9
41,Bristol, United Kingdom,Europe,5.215999999999999,5.242,4.113,3.593,4.890000000000001,5.4437500000000005,8.991999999999999,7.939999999999999,8.251666666666665,5.4615,6.472250000000001,5.438,5.9545,6.478000000000001,3.8625,7.439499999999999,4.538,51.4538022,-2.5972985,5.85
42,Brno, Czechia,Europe,8.329000000000002,7.925999999999998,2.9155,0.0,2.601,5.827249999999999,6.2126666666666654,8.5655,8.096666666666666,4.226500000000001,6.05525,4.378000000000001,5.9335,7.020500000000002,5.3525,8.055000000000001,3.694,49.1922443,16.6113382,5.6
43,Brussels, Belgium,Europe,6.355,4.477,5.6915,3.374,7.4675,5.386750000000001,8.876999999999999,6.703,8.158333333333333,6.6530000000000005,4.591000000000001,4.8115000000000006,1.883,7.5715,8.143999999999998,6.481,4.123,50.8465573,4.351697,5.93
44,Bucharest, Romania,Europe,9.186500000000002,8.516,5.383,1.187,3.4955,5.072500000000001,5.681666666666667,8.985999999999999,6.075333333333333,2.4475,3.41925,4.103,6.839,9.638,6.959499999999999,8.686500000000002,1.9675,44.4361414,26.1027202,5.75
45,Budapest, Hungary,Europe,8.570500000000001,7.947999999999999,5.4935,2.8040000000000003,4.426500000000001,5.395000000000001,6.707999999999999,8.218499999999999,5.745999999999999,3.693,5.2875,4.946,6.1075,6.759,8.253000000000002,7.228,5.112000000000001,47.4979937,19.0403594,6.05
46,Buenos Aires, Argentina,South America,8.812000000000001,7.763999999999999,4.672999999999999,2.3100000000000005,3.77,4.9235,4.045333333333334,6.0395,6.978999999999998,1.422,4.869,2.884,1.568,1.5275,7.6735,8.584000000000001,4.535500000000001,-34.6075682,-58.4370894,4.85
47,Buffalo, New York,North America,7.0765,5.228000000000001,3.947000000000001,2.7150000000000003,1.511,2.154,8.671,7.1885,6.457333333333333,4.212,8.329249999999998,6.5145,3.9205,6.757999999999999,4.32,7.404000000000001,4.6465,42.8867166,-78.8783922,5.36
48,Cairo, Egypt,Africa,10.0,10.0,5.0985000000000005,2.958,3.7575,3.99025,5.790666666666668,6.791,4.041,0.5,1.1555000000000002,2.978,5.101,2.405,6.1855,2.6500000000000004,0.5,30.0443879,31.2357257,4.35
49,Calgary, Canada,North America,6.495000000000001,5.417999999999999,5.9495000000000005,2.036,2.514,5.157500000000001,8.966,7.923,8.026333333333334,5.5550000000000015,8.191499999999998,5.8405000000000005,7.2745000000000015,5.6705000000000005,4.268,8.1105,7.504499999999999,51.0460954,-114.065465,6.18
50,Cambridge, United Kingdom,Europe,4.1055,4.851,5.253,3.2840000000000003,6.887499999999999,5.627750000000001,8.991999999999999,9.504499999999998,8.189,6.554500000000001,8.0165,5.438,5.9545,5.8095,2.455,8.487000000000002,0.5,52.2055314,0.1186637,5.88
51,Cape Town, South Africa,Africa,6.7635000000000005,7.955,5.611000000000001,3.725,2.1630000000000003,3.8425,4.732,5.327999999999999,4.343,0.8945000000000001,6.6085,2.7680000000000007,5.151,5.612500000000001,4.736000000000001,3.6605,6.750500000000001,-33.928992,18.417396,4.75
52,Caracas, Venezuela,South America,4.9025,9.82,3.0535,0.0,1.3235,4.544250000000001,1.0,5.221,4.178333333333334,0.0,2.2725,1.978,4.180000000000001,1.6415000000000002,4.38,4.5505,4.0985,10.506098,-66.9146017,3.37
53,Cardiff, United Kingdom,Europe,7.065,6.082,3.3955,1.7800000000000002,4.890000000000001,5.764749999999999,8.991999999999999,8.21,8.318333333333332,4.785500000000001,6.607249999999999,5.438,5.9545,5.101,5.0285,7.996,4.8055,51.4816546,-3.1791934,5.9
54,Casablanca, Morocco,Africa,8.822,9.088,3.0975,0.0,2.9145,4.26,5.614333333333333,6.775500000000001,4.47,0.0,2.2555000000000005,3.1735,3.2995,2.067,2.6830000000000003,2.945,3.9935,33.5950627,-7.6187768,3.86
55,Charleston, South Carolina,North America,4.6370000000000005,3.567,4.92,2.011,1.399,4.62075,8.671,5.0555,6.779666666666666,3.6245,7.276,6.5145,4.062,6.093,6.595000000000001,5.771000000000001,5.0095,32.7876012,-79.9402728,5.1
56,Charlotte, North Carolina,North America,5.549,4.987,6.247999999999999,2.878,3.679,4.134,8.671,5.347499999999999,6.432333333333333,3.6245,8.009249999999998,6.5145,4.062,6.3870000000000005,5.606,6.7895,1.3115,35.2272086,-80.8430827,5.31
57,Chattanooga, Tennessee,North America,6.782,6.121,3.9095,2.228,1.2095,0.7969999999999999,8.671,4.468,6.242999999999999,3.6245,7.1515,6.5145,4.772,8.365,4.1625,4.7925,3.908,35.0457219,-85.3094883,4.93
58,Chennai, India,Asia,10.0,10.0,7.104,3.782000000000001,4.208,4.8420000000000005,3.618,7.837000000000001,4.074666666666666,0.5115000000000001,2.3945000000000007,5.5565,3.4145,6.825500000000001,2.2275,4.550000000000001,4.198,13.0836939,80.270186,5.01
59,Chiang Mai, Thailand,Asia,9.3725,8.495000000000001,1.783,0.0,1.6945,5.141249999999999,5.6036666666666655,8.452500000000002,7.393666666666667,1.6875,3.981,2.387,6.794500000000001,4.2865,6.847500000000001,6.8715,3.088,18.7882778,98.9858802,4.94
60,Chicago, Illinois,North America,3.702,4.766000000000001,9.513,8.368,5.5075,4.57975,8.671,3.832,6.215999999999998,7.999,6.8045,6.5145,4.062,6.599499999999999,8.193,6.134,5.4155,41.8755616,-87.6244212,6.29
61,Chisinau, Moldova,Europe,9.6765,9.343,3.0535,0.0,1.6025,5.495,5.443333333333333,7.627999999999999,5.065999999999999,1.3995,4.33825,3.9765000000000006,6.2325,5.3615,2.7120000000000006,6.646999999999999,3.121,47.0245117,28.8322923,4.78
62,Christchurch, New Zealand,Oceania,6.934000000000001,5.096,1.5355000000000003,0.0,0.8334999999999999,5.51775,10.0,7.584999999999999,8.312333333333333,4.756,9.2565,5.505500000000001,5.9315,5.922,3.223500000000001,8.403500000000001,6.269,-43.530955,172.6366455,5.6
63,Cincinnati, Ohio,North America,6.6775,6.1080000000000005,6.0995,2.709,1.9265,4.743500000000001,8.671,4.975,6.345999999999999,4.2805,7.1095,6.5145,3.9205,6.512000000000001,6.118000000000001,5.299,3.6075,39.1014537,-84.5124602,5.39
64,Cleveland, Ohio,North America,7.155999999999999,5.595,4.961,3.646,2.077500000000001,4.42125,8.671,3.637,6.755666666666666,4.6185,7.2505,6.5145,3.9205,5.476500000000001,5.696500000000001,4.775499999999999,4.669,41.5051613,-81.6934446,5.29
65,Cluj-Napoca, Romania,Europe,9.165,8.794,3.4094999999999995,1.8990000000000005,1.7625000000000002,5.876,5.681666666666667,9.4745,6.434333333333333,2.4480000000000004,6.40075,4.103,6.839,8.6655,2.6275000000000004,8.624,4.255,46.769379,23.5899542,5.68
66,Cologne, Germany,Europe,6.5265,5.606999999999999,5.1065000000000005,3.2780000000000005,7.282000000000001,5.381749999999999,9.072333333333331,6.6295,8.04,5.1035,6.48,5.373500000000001,3.9035,5.666,5.3225,6.7115,5.289000000000001,50.938361,6.959974,5.93
67,Colorado Springs, Colorado,North America,6.4995,5.375,4.267,2.147,1.266,1.7352500000000004,8.671,5.3775,5.843999999999999,3.6245,8.526500000000002,6.5145,4.346,5.9225,3.812,9.206,7.356499999999999,38.8339578,-104.8253485,5.33
68,Columbus, Ohio,North America,6.2895,5.746000000000001,5.878500000000001,4.973000000000001,1.663,5.02675,8.671,5.2815,6.406,5.047499999999999,8.166,6.5145,3.9205,4.5535,6.465999999999999,5.9215,4.544999999999999,39.9622601,-83.0007065,5.6
69,Copenhagen, Denmark,Europe,4.227,3.426,6.206999999999999,4.467,6.3,6.2955000000000005,9.94,9.1525,7.985333333333334,5.301,8.27225,4.886500000000001,5.0680000000000005,7.239500000000001,7.063000000000001,9.0955,4.671000000000001,55.6867243,12.5700724,6.45
70,Cork, Ireland,Europe,5.514500000000001,4.902,3.9875,2.87,2.3615,5.504250000000001,8.345666666666666,8.839500000000001,7.426333333333334,4.879,8.012750000000002,7.514500000000001,6.254999999999999,9.143999999999998,2.5315,8.630500000000001,0.5,51.897077,-8.4654674,5.72
71,Curitiba, Brazil,South America,9.4295,8.433,2.912,2.148,0.8900000000000001,4.950250000000001,2.781,5.9465,5.897,1.0165000000000002,7.75725,2.187,2.8525,3.1420000000000003,7.1875,7.848000000000001,2.6655,-25.4295963,-49.2712724,4.6
72,Dallas, Texas,North America,5.259000000000001,6.090999999999999,7.939500000000001,4.916,4.746499999999999,4.4705,8.671,4.339,6.086666666666666,4.284,6.693,6.5145,4.772,6.460999999999999,7.1685,5.294,4.501999999999999,32.7762719,-96.7968559,5.78
73,Dar es Salaam, Tanzania,Africa,7.652000000000001,8.026,2.6875000000000004,3.191,1.4535,2.07575,3.2886666666666664,6.1005,3.238666666666667,0.0,2.0802500000000004,5.499999999999999,4.497000000000001,1.11,1.205,2.7665,4.3535,-6.8160837,39.2803583,3.49
74,Delhi, India,Asia,9.752,9.869,9.828500000000002,9.099000000000002,5.642,3.71225,3.618,6.4185,3.7126666666666654,0.512,2.2030000000000003,5.5565,3.4145,3.588,5.683,3.115999999999999,1.1785,28.6517178,77.2219388,5.12
75,Denver, Colorado,North America,3.8375,5.102,7.8645,6.117,4.243,4.530000000000001,8.671,5.371,6.220333333333333,3.6245,7.11675,6.5145,4.346,5.418500000000001,6.2235,7.860499999999999,7.932999999999999,39.7392364,-104.9848623,5.95
76,Des Moines, Iowa,North America,6.850999999999999,6.327,2.912,1.818,1.379,2.0722500000000004,8.671,6.984,6.709,3.6245,8.68225,6.5145,4.346,5.698,6.0665,8.4765,3.299500000000001,41.5910323,-93.6046655,5.32
77,Detroit, Michigan,North America,6.223000000000001,6.032,5.4015,5.183999999999999,3.6405,0.933,8.671,4.4615,5.786333333333332,5.8185,4.04675,6.5145,3.7785,6.167000000000002,7.478,3.678,5.387499999999999,42.3315509,-83.0466403,5.25
78,Doha, Qatar,Asia,2.1315,6.183,2.6875000000000004,0.0,2.6425,4.61625,7.408333333333332,9.486,7.4336666666666655,1.4335,3.94175,9.39,10.0,3.245,4.6205,5.0625,4.436999999999999,25.2856329,51.5264162,4.99
79,Dresden, Germany,Europe,7.884500000000001,6.0280000000000005,2.4065,1.533,3.536000000000001,4.959999999999999,9.072333333333331,8.463999999999999,8.393666666666666,5.124500000000001,8.110750000000001,5.373500000000001,3.9035,5.6035,6.6385,7.369,4.649,51.0493286,13.7381437,5.83
80,Dubai, United Arab Emirates,Asia,2.591,5.49,7.309000000000001,4.183,4.508,4.2285,8.036999999999999,9.172,6.392,2.28,6.035500000000001,7.885999999999999,10.0,3.151,4.6705,5.426500000000001,5.7985,25.2653471,55.2924914,5.72
81,Dublin, Ireland,Europe,2.5125,4.005000000000001,5.651,6.204,4.7615,5.44625,8.345666666666666,7.121499999999999,6.8103333333333325,5.6065,6.5015,7.514500000000001,6.254999999999999,8.3435,7.134500000000001,7.328,5.664,53.3497645,-6.2602732,6.19
82,Dusseldorf, Germany,Europe,6.282000000000001,5.134,3.389,2.2300000000000004,6.6695,5.283000000000001,9.072333333333331,8.166,8.003666666666666,4.306500000000001,7.375499999999999,5.373500000000001,3.9035,5.666,4.664000000000001,7.868499999999999,5.3585,51.2254018,6.7763137,5.81
83,Edinburgh, United Kingdom,Europe,5.8450000000000015,5.114,4.109,3.337,5.185,5.967500000000001,8.991999999999999,8.485,8.552333333333332,6.092500000000001,7.763,5.438,5.9545,5.1755,7.200500000000001,7.922000000000001,5.131,55.9533456,-3.1883749,6.26
84,Edmonton, Canada,North America,6.729500000000001,5.522,4.6240000000000006,2.392,1.902,5.09725,8.966,7.1175000000000015,8.269,5.948,8.17575,5.8405000000000005,7.2745000000000015,4.609999999999999,3.974,7.925499999999999,3.385,53.535411,-113.507996,5.76
85,Eindhoven, Netherlands,Europe,6.252000000000001,5.125,3.5405,3.0170000000000003,4.807499999999999,6.031750000000001,8.836666666666666,9.107,8.559333333333333,5.0805,8.805,5.053000000000001,4.954999999999999,7.658999999999999,4.333500000000001,9.3425,4.628,51.4392648,5.478633,6.19
86,Eugene, Oregon,North America,6.713,5.021,3.0865000000000005,1.964,1.192,5.627000000000001,8.671,6.171500000000001,6.566666666666666,4.1735,8.231,6.5145,3.9205,4.756000000000001,2.9560000000000004,8.9695,3.533,44.0505054,-123.0950506,5.19
87,Florence, Italy,Europe,6.775,4.649,2.2275,0.0,4.306,6.0287500000000005,6.189666666666666,7.9725,8.163666666666666,4.058000000000001,6.009000000000001,3.3625,2.4365,4.4415,8.503499999999999,6.7355,1.6769999999999998,43.7698712,11.2555757,4.92
